time,cold,zygote
1609656874,0,0
1609656875,0,0
1609656876,0,0
1609656877,0,0
1609656878,0,0
1609656879,0,0
1609656880,0,0
1609656881,0,0
1609656882,0,0
1609656883,0,0
1609656884,0,0
1609656885,0,0
1609656886,0,0
1609656887,0,0
1609656888,0,0
1609656889,0,0
1609656890,0,0
1609656891,0,0
1609656892,0,0
1609656893,0,0
1609656894,0,0
1609656895,0,0
1609656896,0,0
1609656897,0,0
1609656898,0,0
1609656899,0,0
1609656900,0,0
1609656901,0,0
1609656902,0,0
1609656903,0,0
1609656904,0,0
1609656905,0,0
1609656906,0,0
1609656907,0,0
1609656908,1,0
1609656909,0,0
1609656910,0,0
1609656911,2,0
1609656912,1,0
1609656913,3,0
1609656914,0,0
1609656915,2,0
1609656916,2,0
1609656917,0,0
1609656918,0,0
1609656919,0,0
1609656920,0,0
1609656921,0,0
1609656922,0,0
1609656923,0,0
1609656924,0,0
1609656925,0,0
1609656926,0,0
1609656927,0,0
1609656928,0,0
1609656929,1,0
1609656930,2,0
1609656931,0,0
1609656932,0,0
1609656933,0,0
1609656934,0,0
1609656935,0,0
1609656936,0,0
1609656937,0,0
1609656938,0,0
1609656939,0,0
1609656940,1,0
1609656941,0,0
1609656942,0,0
1609656943,0,0
1609656944,0,0
1609656945,0,0
1609656946,0,0
1609656947,0,0
1609656948,0,0
1609656949,0,0
1609656950,0,0
1609656951,0,0
1609656952,0,0
1609656953,0,0
1609656954,2,0
1609656955,0,0
1609656956,0,0
1609656957,0,0
1609656958,0,1
1609656959,0,0
1609656960,0,0
1609656961,0,0
1609656962,0,0
1609656963,0,0
1609656964,0,0
1609656965,0,0
1609656966,0,0
1609656967,0,0
1609656968,2,0
1609656969,1,0
1609656970,0,0
1609656971,1,0
1609656972,1,0
1609656973,0,0
1609656974,0,0
1609656975,2,0
1609656976,4,0
1609656977,2,0
1609656978,0,0
1609656979,0,0
1609656980,0,0
1609656981,0,0
1609656982,0,0
1609656983,0,0
1609656984,0,0
1609656985,0,0
1609656986,0,0
1609656987,0,0
1609656988,0,0
1609656989,0,0
1609656990,0,0
1609656991,0,0
1609656992,0,0
1609656993,1,0
1609656994,0,0
1609656995,0,0
1609656996,0,0
1609656997,0,0
1609656998,0,0
1609656999,0,0
1609657000,0,0
1609657001,0,0
1609657002,0,0
1609657003,0,0
1609657004,0,0
1609657005,0,0
1609657006,0,0
1609657007,0,0
1609657008,0,0
1609657009,0,0
1609657010,0,0
1609657011,0,0
1609657012,0,0
1609657013,0,0
1609657014,0,0
1609657015,0,0
1609657016,0,0
1609657017,0,0
1609657018,0,0
1609657019,0,0
1609657020,0,0
1609657021,0,0
1609657022,0,0
1609657023,0,0
1609657024,0,0
1609657025,0,0
1609657026,0,0
1609657027,0,0
1609657028,1,0
1609657029,0,0
1609657030,0,0
1609657031,1,0
1609657032,0,0
1609657033,0,0
1609657034,1,0
1609657035,1,0
1609657036,1,0
1609657037,2,0
1609657038,6,0
1609657039,0,0
1609657040,0,0
1609657041,0,0
1609657042,0,0
1609657043,0,0
1609657044,0,0
1609657045,0,0
1609657046,0,0
1609657047,0,0
1609657048,0,0
1609657049,1,0
1609657050,2,0
1609657051,0,0
1609657052,0,0
1609657053,0,0
1609657054,0,1
1609657055,0,0
1609657056,0,0
1609657057,0,0
1609657058,0,0
1609657059,0,0
1609657060,0,0
1609657061,0,1
1609657062,0,0
1609657063,0,0
1609657064,0,0
1609657065,0,0
1609657066,0,0
1609657067,0,0
1609657068,0,0
1609657069,0,0
1609657070,0,0
1609657071,0,0
1609657072,0,0
1609657073,0,0
1609657074,0,0
1609657075,0,0
1609657076,0,0
1609657077,0,0
1609657078,0,0
1609657079,0,0
1609657080,0,0
1609657081,0,0
1609657082,0,0
1609657083,0,0
1609657084,0,0
1609657085,1,0
1609657086,0,0
1609657087,0,0
1609657088,1,0
1609657089,1,1
1609657090,0,0
1609657091,1,0
1609657092,0,0
1609657093,0,0
1609657094,1,0
1609657095,0,0
1609657096,2,0
1609657097,1,0
1609657098,4,0
1609657099,0,0
1609657100,1,1
1609657101,0,0
1609657102,0,0
1609657103,0,0
1609657104,0,0
1609657105,0,0
1609657106,0,0
1609657107,0,0
1609657108,1,0
1609657109,0,0
1609657110,0,0
1609657111,0,0
1609657112,0,0
1609657113,0,0
1609657114,0,0
1609657115,0,0
1609657116,0,0
1609657117,0,0
1609657118,0,0
1609657119,0,0
1609657120,0,0
1609657121,0,0
1609657122,0,0
1609657123,0,0
1609657124,0,0
1609657125,0,0
1609657126,0,0
1609657127,0,0
1609657128,0,0
1609657129,0,0
1609657130,0,0
1609657131,0,0
1609657132,0,0
1609657133,0,0
1609657134,0,0
1609657135,0,0
1609657136,0,0
1609657137,0,0
1609657138,0,0
1609657139,0,0
1609657140,0,0
1609657141,0,0
1609657142,0,0
1609657143,0,0
1609657144,1,0
1609657145,2,0
1609657146,0,0
1609657147,0,0
1609657148,1,0
1609657149,1,0
1609657150,1,0
1609657151,0,0
1609657152,0,0
1609657153,0,0
1609657154,0,0
1609657155,0,0
1609657156,4,0
1609657157,0,0
1609657158,3,0
1609657159,1,0
1609657160,1,1
1609657161,0,0
1609657162,2,0
1609657163,0,0
1609657164,0,0
1609657165,0,0
1609657166,0,0
1609657167,0,0
1609657168,0,0
1609657169,0,0
1609657170,2,0
1609657171,0,0
1609657172,0,0
1609657173,0,0
1609657174,1,0
1609657175,0,2
1609657176,0,0
1609657177,0,0
1609657178,0,0
1609657179,0,1
1609657180,0,0
1609657181,0,0
1609657182,0,0
1609657183,0,0
1609657184,0,0
1609657185,0,0
1609657186,0,0
1609657187,0,0
1609657188,0,0
1609657189,0,0
1609657190,0,0
1609657191,0,0
1609657192,0,0
1609657193,0,0
1609657194,0,0
1609657195,0,0
1609657196,0,0
1609657197,0,0
1609657198,0,0
1609657199,0,0
1609657200,0,0
1609657201,0,0
1609657202,0,0
1609657203,0,0
1609657204,1,0
1609657205,0,0
1609657206,0,0
1609657207,0,0
1609657208,1,0
1609657209,1,0
