time,load,container
1610084387,8,4
1610084388,8,4
1610084389,3,4
1610084390,9,4
1610084391,11,4
1610084392,10,4
1610084393,7,4
1610084394,10,4
1610084395,11,4
1610084396,11,4
1610084397,11,4
1610084398,10,4
1610084399,9,4
1610084400,9,4
1610084401,10,4
1610084402,12,4
1610084403,10,4
1610084404,9,4
1610084405,8,4
1610084406,13,4
1610084407,11,4
1610084408,11,5
1610084409,9,5
1610084410,10,5
1610084411,9,5
1610084412,8,5
1610084413,9,5
1610084414,11,5
1610084415,6,5
1610084416,13,5
1610084417,6,5
1610084418,8,5
1610084419,9,5
1610084420,7,5
1610084421,10,5
1610084422,11,5
1610084423,8,4
1610084424,10,4
1610084425,9,4
1610084426,11,4
1610084427,6,4
1610084428,10,4
1610084429,11,4
1610084430,14,4
1610084431,9,4
1610084432,8,4
1610084433,8,4
1610084434,5,4
1610084435,7,4
1610084436,9,4
1610084437,10,4
1610084438,9,4
1610084439,9,4
1610084440,10,4
1610084441,7,4
1610084442,10,4
1610084443,8,4
1610084444,9,4
1610084445,8,4
1610084446,11,4
1610084447,8,4
1610084448,8,4
1610084449,8,4
1610084450,8,4
1610084451,8,4
1610084452,10,4
1610084453,11,4
1610084454,8,4
1610084455,10,4
1610084456,10,4
1610084457,11,4
1610084458,10,4
1610084459,11,4
1610084460,13,4
1610084461,10,4
1610084462,7,4
1610084463,7,4
1610084464,9,4
1610084465,8,4
1610084466,11,4
1610084467,9,4
1610084468,11,4
1610084469,11,4
1610084470,8,4
1610084471,9,4
1610084472,11,4
1610084473,11,4
1610084474,9,4
1610084475,6,4
1610084476,10,4
1610084477,6,4
1610084478,9,4
1610084479,8,4
1610084480,5,4
1610084481,11,4
1610084482,9,4
1610084483,8,4
1610084484,9,4
1610084485,8,4
1610084486,7,4
1610084487,10,4
1610084488,9,4
1610084489,9,4
1610084490,12,4
1610084491,11,4
1610084492,9,5
1610084493,6,5
1610084494,11,5
1610084495,11,5
1610084496,9,5
1610084497,14,5
1610084498,10,5
1610084499,9,5
1610084500,8,5
1610084501,10,5
1610084502,6,5
1610084503,7,5
1610084504,11,5
1610084505,10,5
1610084506,11,5
1610084507,6,5
1610084508,6,5
1610084509,10,5
1610084510,10,5
1610084511,10,5
1610084512,11,5
1610084513,10,5
1610084514,11,5
1610084515,8,5
1610084516,7,5
1610084517,10,4
1610084518,10,4
1610084519,12,4
1610084520,9,5
1610084521,11,5
1610084522,11,5
1610084523,9,5
1610084524,4,5
1610084525,9,5
1610084526,13,5
1610084527,11,5
1610084528,10,5
1610084529,12,5
1610084530,11,5
1610084531,9,5
1610084532,8,5
1610084533,11,5
1610084534,8,5
1610084535,6,5
1610084536,11,5
1610084537,8,5
1610084538,9,5
1610084539,6,5
1610084540,4,5
1610084541,10,5
1610084542,8,5
1610084543,9,5
1610084544,12,5
1610084545,6,4
1610084546,9,4
1610084547,7,4
1610084548,7,4
1610084549,8,4
1610084550,12,4
1610084551,14,4
1610084552,8,4
1610084553,5,4
1610084554,10,4
1610084555,7,4
1610084556,14,4
1610084557,10,4
1610084558,10,4
1610084559,12,4
1610084560,10,4
1610084561,9,4
1610084562,11,4
1610084563,9,4
1610084564,10,4
1610084565,7,4
1610084566,8,4
1610084567,10,4
1610084568,8,4
1610084569,5,4
1610084570,10,4
1610084571,12,4
1610084572,9,4
1610084573,11,4
1610084574,13,4
1610084575,6,4
1610084576,10,4
1610084577,10,4
1610084578,7,5
1610084579,7,5
1610084580,7,5
1610084581,11,5
1610084582,11,5
1610084583,10,5
1610084584,11,5
1610084585,6,5
1610084586,11,5
1610084587,11,5
1610084588,11,5
1610084589,10,5
1610084590,9,5
1610084591,11,5
1610084592,6,5
1610084593,7,4
1610084594,10,4
1610084595,8,4
1610084596,9,4
1610084597,11,4
1610084598,10,4
1610084599,5,4
1610084600,7,4
1610084601,10,4
1610084602,10,4
1610084603,10,4
1610084604,13,4
1610084605,10,4
1610084606,12,4
1610084607,5,4
1610084608,11,4
1610084609,11,4
1610084610,11,4
1610084611,11,4
1610084612,6,4
1610084613,9,4
1610084614,9,4
1610084615,10,4
1610084616,11,4
1610084617,12,4
1610084618,11,4
1610084619,9,4
1610084620,9,4
1610084621,8,4
1610084622,8,4
1610084623,10,4
1610084624,8,4
1610084625,14,4
1610084626,10,4
1610084627,5,4
1610084628,7,4
1610084629,5,4
1610084630,8,4
1610084631,11,4
1610084632,9,4
1610084633,9,4
1610084634,11,4
1610084635,10,4
1610084636,8,4
1610084637,5,4
1610084638,10,4
1610084639,11,-1
1610084640,8,4
1610084641,12,4
1610084642,8,4
1610084643,9,4
1610084644,9,4
1610084645,8,4
1610084646,10,4
1610084647,12,4
1610084648,11,4
1610084649,11,4
1610084650,9,4
1610084651,12,4
1610084652,5,4
1610084653,7,4
1610084654,8,4
1610084655,11,4
1610084656,10,4
1610084657,9,4
1610084658,11,4
1610084659,7,4
1610084660,4,4
1610084661,10,4
1610084662,8,4
1610084663,10,4
1610084664,8,4
1610084665,11,4
1610084666,11,4
1610084667,7,4
1610084668,8,4
1610084669,11,4
1610084670,10,4
1610084671,11,5
1610084672,10,5
1610084673,6,5
1610084674,8,5
1610084675,7,5
1610084676,10,5
1610084677,10,5
1610084678,9,5
1610084679,7,5
1610084680,8,5
1610084681,13,5
1610084682,4,5
1610084683,1,5
1610084684,14,5
1610084685,9,5
1610084686,13,5
1610084687,6,5
1610084688,8,4
1610084689,11,4
1610084690,8,4
1610084691,19,4
1610084692,13,4
1610084693,14,4
1610084694,14,4
1610084695,13,4
1610084696,19,4
1610084697,10,4
1610084698,12,4
1610084699,14,4
1610084700,13,4
1610084701,17,4
1610084702,11,4
1610084703,16,4
1610084704,8,4
1610084705,11,4
1610084706,12,4
1610084707,11,4
1610084708,11,4
1610084709,13,4
1610084710,12,4
1610084711,15,4
1610084712,8,5
1610084713,7,5
1610084714,11,5
1610084715,11,5
1610084716,16,5
1610084717,12,5
1610084718,8,5
1610084719,10,5
1610084720,7,5
1610084721,15,5
1610084722,9,5
1610084723,8,5
1610084724,13,5
1610084725,10,5
1610084726,22,5
1610084727,6,5
1610084728,8,4
1610084729,11,4
1610084730,15,4
1610084731,14,4
1610084732,8,4
1610084733,9,4
1610084734,10,4
1610084735,9,4
1610084736,20,4
1610084737,10,4
1610084738,9,4
1610084739,11,4
1610084740,12,4
1610084741,17,4
1610084742,9,4
1610084743,12,4
1610084744,16,4
1610084745,10,4
1610084746,19,4
1610084747,7,4
1610084748,11,4
1610084749,13,4
1610084750,6,4
1610084751,20,4
1610084752,12,4
1610084753,13,4
1610084754,15,4
1610084755,11,4
1610084756,17,4
1610084757,9,4
1610084758,14,4
1610084759,14,4
1610084760,11,4
1610084761,10,4
1610084762,15,4
1610084763,12,4
1610084764,10,4
1610084765,12,4
1610084766,15,4
1610084767,12,4
1610084768,15,5
1610084769,15,5
1610084770,9,5
1610084771,14,5
1610084772,8,5
1610084773,9,5
1610084774,13,5
1610084775,14,5
1610084776,16,5
1610084777,13,5
1610084778,11,5
1610084779,12,5
1610084780,7,5
1610084781,12,5
1610084782,13,5
1610084783,9,5
1610084784,13,5
1610084785,12,5
1610084786,16,5
1610084787,8,5
1610084788,11,5
1610084789,12,5
1610084790,12,5
1610084791,19,5
1610084792,8,5
1610084793,10,5
1610084794,7,5
1610084795,12,5
1610084796,16,5
1610084797,9,5
1610084798,12,4
1610084799,14,4
1610084800,10,4
1610084801,18,4
1610084802,6,4
1610084803,9,4
1610084804,14,4
1610084805,12,4
1610084806,15,4
1610084807,9,4
1610084808,9,4
1610084809,8,4
1610084810,12,4
1610084811,18,4
1610084812,17,4
1610084813,15,4
1610084814,9,4
1610084815,10,4
1610084816,15,4
1610084817,10,4
1610084818,14,4
1610084819,12,4
1610084820,10,4
1610084821,13,4
1610084822,14,4
1610084823,11,4
1610084824,11,4
1610084825,6,4
1610084826,15,4
1610084827,11,4
1610084828,12,4
1610084829,14,4
1610084830,15,4
1610084831,17,4
1610084832,8,4
1610084833,8,4
1610084834,14,4
1610084835,6,4
1610084836,15,4
1610084837,13,4
1610084838,10,4
1610084839,9,4
1610084840,7,4
1610084841,16,4
1610084842,15,4
1610084843,8,4
1610084844,10,4
1610084845,9,4
1610084846,15,4
1610084847,11,4
1610084848,9,4
1610084849,13,4
1610084850,10,4
1610084851,23,4
1610084852,8,4
1610084853,10,4
1610084854,9,4
1610084855,12,4
