HashFunction,Average,Count
2b78220c27874ff1232afa34a7501666cc0a30d8a6f32f910058531cade13527,2497.0,34393
798ea45b9c976d1a97dc735e74884acf330e4f95a4ff2800a75633d07022449d,2306.0,34391
228da0cc959d2dc4a590f1907d2eb92d03544b46a7c320f414232292a32ac585,211.0,34219
e4bfd9e4853b080c5b0cb17630c0dabae60f1b2dc7a7a76fb2a4dc23c2965610,584.0,34069
2c1be70f4cb21dc01d4724ad1c73794896fac345f549f29def7d21e08df40c38,3142.0,33689
7f9712bfd6db36070f3a61cc34d1675c23f885f2bc84270b4606cbccc82fd010,543.0,33501
51e30b7f4368f6478d67f117844b2f986bf331a9746fcfca8cd77332701163c5,850.0,32697
e5fec20155059b1338010842e365ce2c2a9196bb9511904b3048ecbba0a5488e,425.0,32644
8a1f9faf2eb42b8780ce12fa6467d341b38b1f559616559a9dfbd633a2d4606b,117.0,32633
faf5ba347b75e76ae23c64ad56028cfb46d94cb62218025f7ce506fdfe5484f5,179.0,32395
81486f9e3bf032b0003cb4b7b612bec1ca73293b0220d26027017cd82b6736a9,138.0,32381
f63002c0e9f38a2f27cef289a46901063986209cb5e4df7fa9118e502d20ef87,265.0,32205
9c524d79747f1d6523623a3dfe5af2719437d7862b1d94dbfd50db45f907bf7c,1155.0,32192
12d4a9bbd15137354716b98a7915e9354bb29d5e01dcb1f5597824053d102194,651.0,32101
63992c06bd08ee420df9fbe5115ccf45503bbdb73717479eaa85cbea263f8be5,1281.0,31933
a9ceb1b3be6e312828361ceb8634811fe288247cdc00acc1f52bf444443c2db9,190.0,31860
59a3d631b2ac7c0940516d641f040e7b4c0280a3eaaadc124bdaeb2192e94960,593.0,31703
6ac388c958dc1acfb6914de718fbf47126e484c120e9aca5a2fa906972883220,391.0,31634
c06bc9a7fce32d309cecb0d27b3cc71d6c3796096383d8595e0ee02adee3cf49,128.0,31634
a32dec7ca89d62e78d821eebe62a144b7fae0cbe631a414ddb7c28d5678716c0,2686.0,31622
63602059a9c51a844c23cb037006d45868f3b90d308be8f7f727828d93190a11,188.0,31527
78c17e3dd67efd4da47db767b90a445284ba295bcb72ae8f1538c271b1ee2b4b,191.0,31173
94246e0fd6fb05e2b5b98fbadc3333eb52a4fcafe99dcb667b6d5994ca0d7e6c,1230.0,30934
7c1f08532f5b0377a2b6aee604a6a63eacd325d5f0ae8d2d4d5a8e9cbf4565e2,373.0,30909
13f9f7d05bc7556780a157104e9063a8126c602ac8fff789df823c0c1d851531,2279.0,30778
3661b47ccf6abb81db7d900693a167756785798699cb28843e0f4600b5ac83dd,2024.0,30505
3f295ff8a3d31bec453ec045581943e2f3bb9c622414f744e5e3c52fcb9695a2,4302.0,30240
d7a4ee99a8e52c39c74156e795e85b1b1f30c8c047ef015010e1cf79437388d6,1087.0,28959
9750abb72aed04e5d60e320ce240c3d982d131c074a67b9bd53a010d17bd6a6a,208.0,28820
734393c5c004f34a7bbdef8b3f88fb41d2297d90eca087356e3d9b7600730047,4042.0,28800
42b80b6f68e0e9068f75d5e84cf7909e7f20f648fe74b26c6ec005bb49f028e3,1446.0,28794
28e1366c3af931b8e36a7d62c8b368f2d5647ef1401f014644d02c461767c247,356.0,28547
ce7524971d3336957d2e807f085945ca2aa8c92aeee1c54176185660346fb643,533.0,28428
45d129893c6f8f3f4eead8a564633c49bcc3ad2509f46126439c82514fab7be8,390.0,28277
6acbff270ecc6c04b81fe2927b9466636133167f51f2c15a2010ae66ef89ce8d,651.0,28208
79344ea2167d97de9fd38be431cdfcacd84365e794fc81324bb5db2e25d87ad9,102.0,28166
c26d3bac8977655b3174579e9a719f7b1269aa26e96a1fc41d02ba26a2881434,1035.0,28162
fa92355c0c23178fdcd8055670c827891eb2ec75a77f5f65859b79537f08a64a,307.0,28154
ef0800fb7c52a2baea77e4dae051360dfbc0859fb7bacea25ae227c054e8bb9d,176.0,28048
61af084a351fb8d06f278d1d59fa7f7847f9f89ba91b84e9b7e69f1049f7f0bf,147.0,27936
a48b3cf5a3ca90b6b4af8cd0f1eecc82a295dd2cca8d9e2e635559b2da920c03,1623.0,27905
d614dbc4ca7669ae282ef4ea58fc91caf2208b439e5145c100bc923d2314393f,555.0,27821
7cc61b085ab944be497556abf90dbdf2a9759f2fc0fea5be6c2f6cff5ab5077f,242.0,27765
40fa5bcd73ed32b5ce59500f7debeef9fc234cb256f67a9ce4efa10d68fe4e6a,142.0,27731
1575a82bac7e27060e3b0df3e91af52e37f965f61efde6545837dd42b22f93aa,506.0,27731
4c858194167bee6863695ada95be905624ff9960ee35cee042d1bba35329c316,1174.0,27630
8df7e384ebdac15be9fbc8a80825d9bd280947afb34618bcc5e5db5ca1558e47,535.0,27613
a5b8230ae0bdd82adf06ef357f88d1d70289049c125b146dfb16e972a9a4990d,623.0,27530
4237ac8c1dacd0fb62192f6a7ef1da02e45698811e2110d3e0ed827198e10ff2,261.0,27506
ca237f1e247707f129514b9f2c0ed2ed023f543cb76eff0331cabf6b689356e4,147.0,27296
892a36177d9fc5ab7c06f2e4ceb70a79eede35c5e2bf70c880f35dfb96399032,1463.0,27214
07d17ef2e6cbeebe6b6e2ffb39ff64477bce1d9268a331c2b80d5c615b6b7105,220.0,26961
aa6cb13a2cba62878e50a18271653f585b7376e143b5357c4f10477c7df49e08,973.0,26902
c8c6ac5e954bbcfb74c66b2abf63e612dc53432b2f469fa14dbe56445f8850ba,206.0,26890
5201c1c7485129fb761cbadb2a80962f0a3e8840b63434bb2eaecafcf14dd745,400.0,26857
e6c659b07336c440690ac5d8c7819470aac49e40b268d12e0e8a87964aa7d2fd,158.0,26610
ed5f75f11e8fee6891e4117e178c47e9f15a32dbb2d136d09d68c5dbf1d6602f,900.0,26502
8256fbc5d247d5956ffacf27abe2a2c70e61bbc17e9dbf182e7f1f8eeb4bf9f6,1882.0,26502
bd7c873a82ce088b8b18d7b6a42289f24c6d59d18451d49a755524b3df06cda0,3254.0,26390
9e36bc61f36989720d5683845bdce4a86056e1981452a5264f85aea2ffbd1a71,1178.0,26345
47f312af36a3b670a2a7040fc36445356dc5e4967b76b8e8390cd0e53cbb4af5,163.0,26223
466784f524cbdd25e319658dbf3570ad87db0d3badc2c651bfa088391e5ebc87,179.0,26212
e1305b2ce9dc177bd4db103159fde144ebedc962f165e33b567062c92660bd78,214.0,26156
3516c9f7ba279b4fd730f7f96ee813ea66cfbb2ff35e1d67e72c912d0b71e3c5,115.0,25802
bec16ded66a156d377ccaf7b09c53983421fcd281b87aa963839fa530c87f521,117.0,25608
31fbda0ca5a6d269a702fd4fcd6a9f5fb6dda971c9355282460c9a6bcf2451e6,1244.0,25532
f5a0a8a0c94e28e97b70e6bdccfba994c1aa0093b8a17808204be3435f26db7b,1795.0,25317
c616a711bc4600b456e50b71ece5853d2e7cbd308576630d15bbf043899975ed,1580.0,24990
405aa4cfaba5ef7f07bcce2a7f0fe7f747f8a9db2f35c58a1fa1cab9e0fc43a0,3848.0,24980
afcbe13f4f45429c5ab2b7285c7693b5bcfca28e2621481f2f6fafe570f1f826,319.0,24454
034a73bd15cca1dc080637ce79929248f18c5bba323591e9ea013858079946dd,3490.0,24379
b765aaf5f15ebf88dc45c0dae6d47f4b710eacf8aeb1186797caeddd415c6497,105.0,24128
fff98cf266772de266178e04ef4c9cc0bce944afc93b38aa2f55ab0a4ae42e1d,146.0,24001
406f2f257024ec91fdcf6a50b58e39d8fcea44ada9c47edc4cf5adb71b6e1452,218.0,23921
a9aca4e2227d4953cb66d56760f875f20f2b3ae4584f1819ffb6e5e28c912960,431.0,23462
97a154875cd200cb9639245497efa7d7e60564ecb147445d2f7baa801750f35d,651.0,23414
1436f8a362df96dc2d17c0e7c41472a9ff321f7be9ce690ac6c6a654deee383d,564.0,23164
17eefac9e4c969525082ac9347c53ccec764cda3bd5498c8ed83ba57627f252c,1629.0,23103
